City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
316,Bossangoa,CF,6.4926,17.4552,72.14,88,100,3.0,overcast clouds
317,Ushtobe,KZ,45.2514,77.9838,74.32,18,45,7.74,scattered clouds
318,Beisfjord,NO,68.3751,17.5988,63.05,99,100,5.77,overcast clouds
319,Contai,IN,21.7786,87.7536,81.5,83,90,6.29,light rain
320,Mbandaka,CD,0.0487,18.2603,71.37,91,78,2.68,broken clouds
321,Belyy Yar,RU,53.6039,91.3903,54.86,100,0,2.24,light rain
322,Cefalu,IT,38.0386,14.0229,84.54,81,0,1.01,clear sky
323,Seminole,US,28.7086,-81.2081,99.27,58,25,1.99,scattered clouds
324,Ust-Ishim,RU,57.6935,71.1665,59.94,96,49,4.16,scattered clouds
325,Nouadhibou,MR,20.931,-17.0347,85.98,62,0,11.5,clear sky
326,Mbale,UG,1.0821,34.175,66.99,81,94,3.78,light rain
327,Ramat Yishay,IL,32.7006,35.1797,76.15,69,0,3.94,clear sky
328,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,98.62,16,0,12.01,clear sky
329,Bhagalpur,IN,25.25,87.0,82.09,72,100,8.75,overcast clouds
330,Rocha,UY,-34.4833,-54.3333,66.79,86,99,6.4,overcast clouds
331,Buraydah,SA,26.326,43.975,102.65,15,30,6.85,scattered clouds
332,Burriana,ES,39.889,-0.085,85.05,78,63,6.11,broken clouds
333,Maralal,KE,1.0968,36.698,59.04,64,12,5.21,few clouds
334,Bubaque,GW,11.2833,-15.8333,80.04,76,100,10.92,overcast clouds
335,Izhma,RU,65.0083,53.9113,58.08,59,87,2.98,overcast clouds
336,Hasanabad,IR,36.5465,61.0543,87.93,35,0,13.24,clear sky
337,Hellvik,NO,59.9156,5.781,55.78,87,100,10.0,overcast clouds
338,Opuwo,NA,-18.0607,13.84,65.44,25,7,6.67,clear sky
339,Mitsamiouli,KM,-11.3847,43.2844,71.89,83,20,8.05,few clouds
340,Noyakert,AM,39.8312,44.669,79.14,36,0,4.38,clear sky
341,Upata,VE,8.0086,-62.3989,87.19,66,100,3.69,overcast clouds
342,Malangali,TZ,-8.5667,34.85,60.1,71,9,14.81,clear sky
